n_grasp,semilla,score_grasp,score_vns,mejora_vns,t_grasp_s,t_vns_s,t_total_s
20,1,71.39999999999999,76.0,4.6000000000000085,3.911782637999977,2.6325951939999186,6.5443778319998955
50,1,71.89999999999999,80.4,8.500000000000014,10.375746853999999,5.517040315000031,15.89278716900003
100,1,71.89999999999999,80.4,8.500000000000014,21.046272540000018,4.239292354999975,25.285564894999993
150,1,71.89999999999999,80.4,8.500000000000014,34.43306165699994,4.201341408000076,38.634403065000015
250,1,71.89999999999999,80.4,8.500000000000014,55.81615536000004,5.585774126000047,61.401929486000085
400,1,71.89999999999999,80.4,8.500000000000014,86.03722864400004,4.192196480999996,90.22942512500003
20,3,67.6,67.6,0.0,3.6444087610000224,4.297701096999958,7.942109857999981
50,3,67.6,67.6,0.0,10.318814683000028,3.967766174000076,14.286580857000104
100,3,71.7,80.5,8.799999999999997,20.966660938000018,9.423094920999915,30.389755858999933
150,3,71.7,80.5,8.799999999999997,29.98238268700004,8.86790854000003,38.85029122700007
250,3,71.7,80.5,8.799999999999997,50.70226402499998,9.786120849999975,60.48838487499995
400,3,71.8,84.7,12.900000000000006,80.567022608,6.188537788999952,86.75556039699995
20,7,67.19999999999999,80.39999999999999,13.200000000000003,4.7565160990000095,3.621295405000069,8.377811504000078
50,7,67.6,67.6,0.0,10.136906529000044,6.755922353999949,16.892828882999993
100,7,67.6,67.6,0.0,20.525904373000003,11.404199507000044,31.930103880000047
150,7,71.39999999999999,80.39999999999999,9.0,31.05689794400007,13.237173432000077,44.29407137600015
250,7,76.1,76.1,0.0,50.82642719800003,2.1372106179999264,52.96363781599996
400,7,76.1,76.1,0.0,82.48941819000004,2.729537894000032,85.21895608400007
20,13,67.6,67.6,0.0,3.7252404549999483,1.8326413900000489,5.557881844999997
50,13,67.6,67.6,0.0,9.089892111999916,1.8937213130000146,10.98361342499993
100,13,71.6,80.60000000000001,9.000000000000014,19.86002642400001,6.17931082899986,26.03933725299987
150,13,71.6,80.60000000000001,9.000000000000014,30.333743391999974,5.441994101999853,35.77573749399983
250,13,71.6,80.60000000000001,9.000000000000014,52.38448891199994,5.830719312999918,58.215208224999856
400,13,71.6,80.60000000000001,9.000000000000014,83.735103923,5.174729938000155,88.90983386100015
20,21,67.3,80.2,12.900000000000006,3.806375775999868,6.535932996000156,10.342308772000024
50,21,67.3,80.2,12.900000000000006,15.330165693000026,5.01792543800002,20.348091131000047
100,21,71.39999999999999,76.0,4.6000000000000085,25.773988905999886,2.7041339939999034,28.47812289999979
150,21,71.69999999999999,80.60000000000001,8.90000000000002,36.90406448199997,3.2528510279998955,40.15691550999986
250,21,71.69999999999999,80.60000000000001,8.90000000000002,57.51229625299993,4.982900486000062,62.495196738999994
400,21,71.69999999999999,80.60000000000001,8.90000000000002,89.18842474799999,4.640069323000034,93.82849407100002
20,29,71.8,80.4,8.600000000000009,3.861202474000038,3.3613349140000537,7.222537388000092
50,29,71.8,80.4,8.600000000000009,9.605714642000066,3.368554981999978,12.974269624000044
100,29,71.8,80.4,8.600000000000009,19.838712701000077,4.7388604660000055,24.577573167000082
150,29,71.8,80.4,8.600000000000009,30.29170408999994,3.336254113999985,33.627958203999924
250,29,71.8,80.4,8.600000000000009,62.60037262900005,3.3764426949999233,65.97681532399997
400,29,71.8,80.4,8.600000000000009,94.66757498099992,3.658818672000052,98.32639365299997
20,37,67.6,67.6,0.0,4.7245301079999535,2.174962091999987,6.899492199999941
50,37,67.6,67.6,0.0,10.265131935,2.2050786159998097,12.47021055099981
100,37,67.6,67.6,0.0,20.818743562999998,2.166875902000129,22.985619465000127
150,37,71.39999999999999,80.3,8.900000000000006,31.814478320000035,9.928430117000062,41.7429084370001
250,37,76.0,80.5,4.5,51.75893564900002,11.471892784999909,63.23082843399993
400,37,76.0,80.5,4.5,83.83307996000008,11.151346399999966,94.98442636000004
20,42,67.4,67.39999999999999,-1.4210854715202004e-14,3.7779160130000946,7.138894059999984,10.916810073000079
50,42,71.39999999999999,80.4,9.000000000000014,10.39316286799999,7.57846940200011,17.9716322700001
100,42,71.5,80.39999999999999,8.899999999999991,20.767499169000075,5.874531360999981,26.642030530000056
150,42,71.5,80.39999999999999,8.899999999999991,31.238973090000172,4.542589487999976,35.78156257800015
250,42,71.5,80.39999999999999,8.899999999999991,52.82290409799998,4.486278174000063,57.309182272000044
