n_grasp,semilla,score_grasp,score_vns,score_vns_general,t_vns_s,t_vnsgeneral_s
20,1,67.6,67.6,67.6,1.6795179149999058,0.2478776039999957
50,1,67.6,67.6,67.6,2.7684236719999262,0.4267626799999107
100,1,67.6,67.6,67.6,1.8506855759999326,0.23540681500003302
150,1,67.6,67.6,67.6,1.7229578540000148,0.23258399099995586
20,3,67.6,67.6,67.6,1.7033759539999664,0.2279183399998601
50,3,67.6,67.6,67.6,1.9111553019999974,0.416267715999993
100,3,67.6,67.6,67.6,2.6252750529999958,0.24470480300010422
150,3,67.6,67.6,67.6,1.6711995390000993,0.24272198699986802
20,7,63.1,67.39999999999999,67.4,1.7719882830001552,0.85892842200019
50,7,67.4,67.4,67.4,1.5571150690000195,0.36361129199985953
100,7,67.6,67.6,67.6,3.8471845550000126,0.2014676710000458
150,7,67.6,67.6,67.6,2.9488328039999487,0.20504072900007486
20,13,67.6,67.6,67.6,0.8787804520000009,0.2949948430000404
50,13,67.6,67.6,67.6,0.9336747100001048,0.488253880000002
100,13,67.6,67.6,67.6,1.5501671950000855,0.48577890999990814
150,13,67.6,67.6,67.6,1.1294969000000492,0.274150759000122
20,21,63.1,67.4,63.1,4.264781224999979,0.1791999570000371
50,21,67.6,67.6,67.60000000000001,0.9146995730000071,0.46686352899996564
100,21,67.6,67.6,67.60000000000001,1.161682805000055,0.7930323350001345
150,21,67.6,67.6,67.60000000000001,1.6080038589998367,0.6407045170001311
20,29,67.5,67.6,67.5,1.4694942079997872,0.5444356479999897
50,29,67.5,67.6,67.5,1.4818664219999391,0.5655469959999664
100,29,67.5,67.6,67.5,1.4715546889999587,0.6007566230000521
150,29,67.5,67.6,67.5,2.1036400259999937,0.967096230999914
20,37,67.6,67.6,67.6,1.0205478240000048,0.47094324800013965
50,37,67.6,67.6,67.6,1.0232796940001663,0.5634785849999844
100,37,67.6,67.6,67.6,1.3529031810001015,0.4807218579999244
150,37,67.6,67.6,67.6,1.0607854899999438,0.48446376799984137
20,42,67.4,67.39999999999999,67.4,2.922345342999961,0.28607505200011474
50,42,67.4,67.39999999999999,67.4,2.912584344999914,0.3111462809999921
100,42,67.6,67.60000000000001,67.6,2.7668050049999238,0.22980344999996305
150,42,67.6,67.60000000000001,67.6,4.211675431999993,0.19488604499997564
20,55,63.300000000000004,67.39999999999999,67.4,1.363370290000148,0.5154262239998388
50,55,67.39999999999999,67.4,67.4,1.4437458639999932,0.37090632099989307
100,55,67.39999999999999,67.4,67.4,1.4529829790003532,0.37480051900001854
150,55,67.4,67.4,67.4,2.38723403899985,0.4385475519998181
20,71,63.300000000000004,67.6,67.4,1.2957638559996667,0.5068053089999012
50,71,67.4,67.4,67.39999999999999,7.350513382000372,0.8948837730004016
100,71,67.4,67.4,67.39999999999999,7.047769937999874,0.5184159099999306
150,71,67.4,67.4,67.39999999999999,8.06954621900013,0.5106536990001587
