n_grasp,semilla,score_grasp,score_vns,score_vns_general,t_vns_s,t_vnsgeneral_s
20,1,71.39999999999999,76.0,75.7,2.9532537330014748,0.5368668130031438
50,1,71.89999999999999,80.4,76.2,6.4625967600004515,0.6141939619992627
100,1,71.89999999999999,80.4,76.2,4.614564821997192,0.611015458998736
150,1,71.89999999999999,80.4,76.2,5.168192247998377,1.293488728995726
20,3,67.6,67.6,67.6,3.608209869998973,0.4947757490008371
50,3,67.6,67.6,67.6,4.152339478001522,0.8808607030005078
100,3,71.7,80.5,75.9,10.15066580200073,0.6916474050012766
150,3,71.7,80.5,75.9,11.15423462200124,0.5701454950030893
20,7,67.19999999999999,80.39999999999999,80.3,5.840361164999194,1.0129509979960858
50,7,67.6,67.6,67.6,6.957416323995858,0.42704329599655466
100,7,67.6,67.6,67.6,8.59804108699609,0.4126178139995318
150,7,71.39999999999999,80.39999999999999,75.7,14.437979147995065,0.533908931996848
20,13,67.6,67.6,67.6,2.1975130069986335,1.073490402995958
50,13,67.6,67.6,67.6,3.2913691669964464,0.5994085019992781
100,13,71.6,80.60000000000001,76.3,5.038246315998549,1.3062295769996126
150,13,71.6,80.60000000000001,76.3,6.7003096299959,1.733477251000295
20,21,67.3,80.2,76.0,4.566577953002707,1.4678191850034636
50,21,67.3,80.2,76.0,6.009978571004467,1.0715309329971205
100,21,71.39999999999999,76.0,76.0,2.308417467000254,0.8271139470016351
150,21,71.69999999999999,80.60000000000001,80.1,3.398270768004295,3.4263954529960756
20,29,71.8,80.4,76.1,3.476383863002411,0.9075159200001508
50,29,71.8,80.4,76.1,4.264969335003116,1.607163426000625
100,29,71.8,80.4,76.1,4.019979814001999,1.0271049779985333
150,29,71.8,80.4,76.1,3.5971239139980753,0.9437937090042396
20,37,67.6,67.6,67.6,2.257676613997319,1.0186427439984982
50,37,67.6,67.6,67.6,2.2250839400003315,1.0266979669977445
100,37,67.6,67.6,67.6,2.433881721000944,1.1808413920007297
150,37,71.39999999999999,80.3,80.1,10.993273722997401,2.7456006169959437
20,42,67.4,67.39999999999999,67.4,5.96068403100071,0.6328475299960701
50,42,71.39999999999999,80.4,76.0,9.715388951997738,1.6164540909958305
100,42,71.5,80.39999999999999,71.9,4.7543256579956505,1.211689817995648
150,42,71.5,80.39999999999999,71.9,6.72783171699848,1.1711953789999825
20,55,63.300000000000004,67.39999999999999,67.4,2.9541763810047996,1.7830002030023024
50,55,71.39999999999999,80.4,76.0,18.365480764994572,1.0035716490019695
100,55,71.39999999999999,80.4,76.0,17.087107030005427,0.927103880996583
150,55,71.69999999999999,76.3,80.10000000000001,2.983683924001525,1.7902861119946465
20,71,67.19999999999999,76.1,75.8,3.394755036002607,1.1981898249941878
50,71,67.4,67.4,67.39999999999999,16.096498800005065,1.041262907005148
100,71,71.39999999999999,80.30000000000001,76.0,5.653515455000161,0.8105959509994136
150,71,71.39999999999999,80.30000000000001,76.0,3.5556520220052334,0.8382691700026044
