poi_id,poi_name,poi_day,poi_open_time,poi_close_time,status
1,Parque Rural de Teno,default,0:00,23:59,open
2,Punta de Teno,default,0:00,23:59,open
3,Parque Puerta de Tierra,default,10:00,16:00,open
3,Parque Puerta de Tierra,sunday,,,close
4,Malpaís de Güimar,default,0:00,23:59,open
5,Pirámides de Güimar,default,10:00,18:00,open
6,Parque del Drago,default,9:00,20:00,open
7,Mirador de Masca,default,0:00,23:59,open
8,El Teide,default,0:00,23:59,open
9,Jardín Botánico,default,9:00,18:00,open
10,Parque García Sanabria,default,0:00,23:59,open
11,Paisaje Lunar,default,0:00,23:59,open
12,Cruz del Carmen - Parque Rural de Anaga,default,0:00,23:59,open
13,Barranco del Infierno,default,8:00,13:30,open
14,Sendero del Chinyero,default,0:00,23:59,open
15,Museo Militar de Almeida,monday,,,close
15,Museo Militar de Almeida,default,9:00,15:00,open
15,Museo Militar de Almeida,weekend,10:00,14:00,open
16,Museo de Historia de Tenerife,default,9:00,19:00,open
16,Museo de Historia de Tenerife,sunday,10:00,17:00,open
17,Museo Arqueólogico Puerto de la Cruz,default,9:00,15:00,open
17,Museo Arqueólogico Puerto de la Cruz,weekend,,,close
18,Centro Alfarero Cha Domitila,default,10:00,13:00,open
18,Centro Alfarero Cha Domitila,default,16:00,19:00,open
18,Centro Alfarero Cha Domitila,sunday,10:00,14:00,open
18,Centro Alfarero Cha Domitila,monday,,,close
19,Ecomuseo,default,10:30,17:30,open
19,Ecomuseo,monday,,,close
20,Museo Juan Evora,default,9:00,15:45,open
21,Casa del Plátano,default,11:00,19:00,open
22,La Casa de los Balcones,default,9:00,18:30,open
23,Jardines Marquesado de la Quinta Roja,default,9:30,20:00,open
