poi_id,poi_name,poi_lat,poi_lon,poi_score,poi_cat,poi_visit_time,poi_desc,poi_address
1,Parque García Sanabria,2.847.204.885.114.450,-16.253.972.053.527.800,"4,7",park,60,"Mayor parque urbano de Canarias, inaugurado en 1926. Cuenta con fuentes, un reloj floral suizo donado en 1958 y esculturas al aire libre.","C. Méndez Núñez, s/n, 38001 Santa Cruz de Tenerife"
2,Mercado Ntra. Señora de África,284.633.506,-162.518.818,"4,6",market,45,"Establecido en 1944, este mercado tradicional de estilo neocolonial reúne puestos de fruta, verdura, carne, pescado y productos típicos canarios.","Av. de San Sebastián, 51, 38005 Santa Cruz de Tenerife"
3,Palmetum,284.522.953,-16.256.355.199.999.900,"4,6",botanical_garden,90,Jardín botánico de 12 hectáreas iniciado en 1995 sobre un antiguo vertedero. Alberga la mayor colección de palmeras de islas tropicales del mundo.,"Av. de la Constitución, 5, 38005 Santa Cruz de Tenerife"
4,Museo de la Naturaleza y la Arqueología,28.463.946,-16.249.471,"4,6",museum,90,"Ubicado en el antiguo Hospital Civil del s. XVIII, alberga la mayor colección sobre la cultura guanche, momias, y exposiciones de naturaleza y biología canaria.","C/ Fuente Morales, s/n, 38003 Santa Cruz de Tenerife"
5,Iglesia Matriz de Nuestra Señora de la Concepción,284.644.615,-16.249.028.499.999.900,"4,5",church,30,"Primer templo edificado en Tenerife, originario del año 1500. De estilo barroco canario, es la única iglesia de cinco naves de Canarias. Custodia la Cruz Fundacional de la ciudad.","Pl. de la Iglesia, 2, 38001 Santa Cruz de Tenerife"
6,Museo Militar de Almeida,28.475.598.705.774.700,-16.247.723.647.765.300,"4,7",museum,60,"Museo Histórico Militar de Canarias, situado en el fuerte de Almeyda (s. XIX). Recorre la historia militar del archipiélago, destacando la Gesta del 25 de julio de 1797 contra Nelson.","C/ San Isidro, 2, 38001 Santa Cruz de Tenerife"
7,Castillo de San Cristóbal,28.466.833,-16.247.472,"4,3",historical_landmark,30,"Centro de Interpretación con los restos subterráneos del castillo defensivo más importante de la isla (1575-1928), descubiertos en 2006 bajo la Plaza de España. Alberga el famoso cañón 'El Tigre'.","Plaza de España, s/n, 38003 Santa Cruz de Tenerife"
8,Casa del Carnaval,28.464.703.888.889,-16.256.003.055.556,"4,5",museum,60,"Museo inaugurado en 2017 dedicado al Carnaval de Santa Cruz, Fiesta de Interés Turístico Internacional. Exhibe trajes de las Reinas, carteles históricos y un espacio sensorial inmersivo.","C/ Aguere, s/n (Barranco de Santos, junto al Puente Galcerán), 38001 Santa Cruz de Tenerife"
9,TEA Tenerife Espacio de las Artes,284.639.687,-162.510.159,"4,6",museum,90,"Centro cultural diseñado por Herzog & de Meuron y Virgilio Gutiérrez (2008). Alberga el Instituto Óscar Domínguez, el Centro de Fotografía y la Biblioteca Insular en un edificio de hormigón con más de 1.200 ventanas de distintos tamaños.","Av. de San Sebastián, 10, 38003 Santa Cruz de Tenerife"
10,Auditorio de Tenerife Adán Martín,284.561.009,-16.251.352,"4,5",auditorium,45,"Auditorio y complejo artístico frente al mar, diseñado por Santiago Calatrava. Edificio emblemático de diseño futurista con curvas y una imponente cubierta en voladizo.","Av. de la Constitución, 1, 38003 Santa Cruz de Tenerife"
11,Plaza de España,28.466.840.899.999.900,-162.473.788,"4,6",tourist_attraction,30,"La plaza más grande de Canarias (5.026 m²), remodelada en 2008 por Herzog & de Meuron. Cuenta con un gran lago artificial de agua salada con géiser, el Monumento a los Caídos y las letras turísticas 'Santa Cruz'.","Plaza de España, 38003 Santa Cruz de Tenerife"
12,Parque Marítimo César Manrique,28.454.147,-162.542.081,"4,4",water_park,120,"Centro acuático con 3 piscinas de agua salada entre cascadas y palmeras, además de solárium. Obra póstuma del artista lanzaroteño César Manrique.","Av. de la Constitución, 5, 38003 Santa Cruz de Tenerife"
13,Playa de las Teresitas,285.097.119,-161.847.441,"4,6",beach,180,"Playa de 1,5 km con arena dorada importada del Sáhara, bordeada de palmeras. Cuenta con rompeolas, hamacas, sombrillas, duchas y restaurantes. La playa más emblemática de Santa Cruz.","Playa de Las Teresitas, San Andrés, 38120 Santa Cruz de Tenerife"
14,Plaza de la Candelaria,28.466.706,-16.247.948,"4,5",tourist_attraction,20,"Segunda plaza más importante de la ciudad, junto a la Plaza de España. Alberga el monumento del Triunfo de la Candelaria (1778), obelisco de mármol de Carrara dedicado a la patrona de Canarias. Rodeada por el Palacio de Carta y el Casino de Tenerife.","Plaza de la Candelaria, 38002 Santa Cruz de Tenerife"
15,Castillo San Juan Bautista,28.455.556,-162.525,"4,3",historical_landmark,20,"Fuerte costero del s. XVII (construido entre 1641-1644 y reconstruido en 1765), conocido también como Castillo Negro por su piedra volcánica. BIC desde 1993. Segunda fortaleza más importante en la defensa de la ciudad. Solo se visita su exterior.","Av. de la Constitución, s/n (detrás del Auditorio), 38003 Santa Cruz de Tenerife"
16,Plaza del Chicharro,2.846.758.333,-1.625.075,"4,3",tourist_attraction,15,"Pequeña plaza peatonal junto a la Plaza del Príncipe, con una escultura de bronce del 'chicharro' (jurel), pez emblemático de la ciudad que da nombre a sus habitantes ('chicharreros'). La escultura actual es una réplica de 2003 de la original donada en 1979.","C/ Valentín Sanz / C/ Villalba Hervás, 38002 Santa Cruz de Tenerife"
17,Mirador los Campitos,284.754.063,-162.605.689,"4,5",scenic_viewpoint,20,"Uno de los miradores más estratégicos de Santa Cruz, situado en las estribaciones del macizo de Anaga. Ofrece vistas panorámicas de la ciudad, el puerto, la cordillera de Anaga y, en días claros, hasta Gran Canaria.","Carretera de Los Campitos, 38170 Santa Cruz de Tenerife"
18,Parroquia de San Francisco de Asís,28.467.949,-16.249.466,"4,6",church,25,"Antigua iglesia del convento franciscano de San Pedro de Alcántara (fundado en 1677). Tras la desamortización de 1823, reabrió en 1848 y fue declarada parroquia en 1869. Conserva valiosos retablos barrocos e imágenes religiosas.","Plaza de San Francisco, 13, 38002 Santa Cruz de Tenerife"
19,Plaza Príncipe de Asturias,28.468.309,-16.250.364,"4,5",tourist_attraction,20,"Plaza romántica diseñada en 1857 por Manuel de Oraá sobre la antigua huerta del convento franciscano. Inaugurada en 1860 en honor a Alfonso XII, destaca por su templete central (1929) rodeado de laureles de Indias y esculturas genovesas.","C/ Valentín Sanz / C/ José Murphy, 38002 Santa Cruz de Tenerife"
